timestamp                 ,open  ,high  ,low   ,close ,volume ,difference
2023-12-10 18:15:00-03:00 ,369.8 ,369.8 ,369.3 ,369.3 , 30.32 ,-0.5
2023-12-10 18:16:00-03:00 ,368.8 ,369.2 ,368.7 ,368.7 ,  3.02 ,-0.1
2023-12-10 18:17:00-03:00 ,368.7 ,368.7 ,368.7 ,368.7 ,  0.0  ,0.0
2023-12-10 18:18:00-03:00 ,368.9 ,369.4 ,368.9 ,369.3 , 35.34 ,0.4
2023-12-10 18:19:00-03:00 ,369.1 ,369.1 ,369.0 ,369.0 ,  1.51 ,-0.1
2023-12-10 18:20:00-03:00 ,369.0 ,369.0 ,369.0 ,369.0 ,  0.0  ,0.0
2023-12-10 18:21:00-03:00 ,369.0 ,369.0 ,369.0 ,369.0 ,  0.0  ,0.0
2023-12-10 18:22:00-03:00 ,368.9 ,368.9 ,368.3 ,368.3 , 13.28 ,-0.6
2023-12-10 18:23:00-03:00 ,368.3 ,368.3 ,368.3 ,368.3 ,  0.0  ,0.0
2023-12-10 18:24:00-03:00 ,368.3 ,368.6 ,368.3 ,368.6 ,  1.56 ,0.3
2023-12-10 18:25:00-03:00 ,368.6 ,368.6 ,368.6 ,368.6 ,  0.0  ,0.0
2023-12-10 18:26:00-03:00 ,367.9 ,368.0 ,367.7 ,367.7 , 50.39 ,-0.2
2023-12-10 18:27:00-03:00 ,367.7 ,367.7 ,366.8 ,366.8 ,  9.15 ,-0.9
2023-12-10 18:28:00-03:00 ,366.8 ,366.8 ,366.7 ,366.7 ,  0.55 ,-0.1
2023-12-10 18:29:00-03:00 ,366.5 ,366.9 ,366.3 ,366.9 ,  5.83 ,0.4
2023-12-10 18:30:00-03:00 ,366.4 ,366.7 ,366.2 ,366.7 ,  3.72 ,0.3
2023-12-10 18:31:00-03:00 ,367.3 ,367.3 ,367.3 ,367.3 ,  0.14 ,0.0
2023-12-10 18:32:00-03:00 ,366.0 ,366.0 ,366.0 ,366.0 ,  3.52 ,0.0
